id,n_round,content,first_name,username,year,correction,final_stance
1490,1,"Acabei de intermediar com @LeonardoBiofarm, presidente do @americadenatal, a disponibilização da sede social do América à SMS para que lá seja instalado um posto de vacinação para os idosos.  #COVIDー19 #juntossomosmaisfortes #TodosContraOCoronaVirus",Florencia,flore_lore,2020,1,favorable
1490,1,"Acabei de intermediar com @LeonardoBiofarm, presidente do @americadenatal, a disponibilização da sede social do América à SMS para que lá seja instalado um posto de vacinação para os idosos.  #COVIDー19 #juntossomosmaisfortes #TodosContraOCoronaVirus",Pedro,pedrov,2020,1,favorable
1490,1,"Acabei de intermediar com @LeonardoBiofarm, presidente do @americadenatal, a disponibilização da sede social do América à SMS para que lá seja instalado um posto de vacinação para os idosos.  #COVIDー19 #juntossomosmaisfortes #TodosContraOCoronaVirus",Ana,anawerneck,2020,1,favorable
1490,1,"Acabei de intermediar com @LeonardoBiofarm, presidente do @americadenatal, a disponibilização da sede social do América à SMS para que lá seja instalado um posto de vacinação para os idosos.  #COVIDー19 #juntossomosmaisfortes #TodosContraOCoronaVirus",Mel,meldktr,2020,1,favorable
1490,1,"Acabei de intermediar com @LeonardoBiofarm, presidente do @americadenatal, a disponibilização da sede social do América à SMS para que lá seja instalado um posto de vacinação para os idosos.  #COVIDー19 #juntossomosmaisfortes #TodosContraOCoronaVirus",Caio,CaioDurazzo,2020,1,favorable
1993,1,"#XôInsanidadeSanitária Campanha de publicidade vencedora no Uruguai. Alerta, sem dizer uma palavra que #IgnoranciaMata. Não só o Ignorante mas todos aqueles que ele contamina. #SeCuidem #SeAfastem #UsemMáscara #MantenhamCautelas ",Florencia,flore_lore,2020,,""
1993,1,"#XôInsanidadeSanitária Campanha de publicidade vencedora no Uruguai. Alerta, sem dizer uma palavra que #IgnoranciaMata. Não só o Ignorante mas todos aqueles que ele contamina. #SeCuidem #SeAfastem #UsemMáscara #MantenhamCautelas ",Pedro,pedrov,2020,,""
1993,1,"#XôInsanidadeSanitária Campanha de publicidade vencedora no Uruguai. Alerta, sem dizer uma palavra que #IgnoranciaMata. Não só o Ignorante mas todos aqueles que ele contamina. #SeCuidem #SeAfastem #UsemMáscara #MantenhamCautelas ",Ana,anawerneck,2020,,""
1993,1,"#XôInsanidadeSanitária Campanha de publicidade vencedora no Uruguai. Alerta, sem dizer uma palavra que #IgnoranciaMata. Não só o Ignorante mas todos aqueles que ele contamina. #SeCuidem #SeAfastem #UsemMáscara #MantenhamCautelas ",Mel,meldktr,2020,,""
1993,1,"#XôInsanidadeSanitária Campanha de publicidade vencedora no Uruguai. Alerta, sem dizer uma palavra que #IgnoranciaMata. Não só o Ignorante mas todos aqueles que ele contamina. #SeCuidem #SeAfastem #UsemMáscara #MantenhamCautelas ",Caio,CaioDurazzo,2020,,""
2066,1,"Ao ministro Eduardo Pazuello, questionei sobre a produção e distribuição de sedativos, adjuvantes na sedação e relaxantes musculares utilizados no processo de intubação orotraqueal e sobre gastos e produção de remédios com os compostos da cloroquina e hidroxicloroquina.",Florencia,flore_lore,2020,1,unclear
2066,1,"Ao ministro Eduardo Pazuello, questionei sobre a produção e distribuição de sedativos, adjuvantes na sedação e relaxantes musculares utilizados no processo de intubação orotraqueal e sobre gastos e produção de remédios com os compostos da cloroquina e hidroxicloroquina.",Pedro,pedrov,2020,1,unclear
2066,1,"Ao ministro Eduardo Pazuello, questionei sobre a produção e distribuição de sedativos, adjuvantes na sedação e relaxantes musculares utilizados no processo de intubação orotraqueal e sobre gastos e produção de remédios com os compostos da cloroquina e hidroxicloroquina.",Ana,anawerneck,2020,1,unclear
